desciption1,desciption2
"ทานตะวัน มีชื่อตามภาษาถิ่นพายัพว่า บัวผัด เป็นพืชปีเดียว (annual plant) อยู่ในวงศ์ Asteraceae มีฐานรองกลุ่มดอก (inflorescence) ขนาดใหญ่ ลำต้นโตได้สูงถึง 3 เมตร ฐานรองกลีบดอกอาจกว้างได้ถึง 30 เซนติเมตร ชื่อ ""ทานตะวัน"" ถูกใช้อ้างอิงถึงพืชทั้งหมดในสกุล Helianthus ด้วยเช่นกัน",เพื่อให้ต้นไม้มีการเจริญเติบโตได้อย่างดี อยู่กับคุณไปนานๆ คุณก็ควรดูแลต้นไม้ให้ถูกวิธี โดยการเลือกดินให้เหมาะสมกับชนิดพืช ใส่กรวดลงไปในดินบ้างเพื่อให้ช่วยยึดพืช พร้อมเพิ่มช่องว่างให้อากาศและน้ำถ่ายเทได้อย่างสะดวก ไม่ขังอยู่ในกระถางจนรากเน่าตาย และควรรดน้ำกับความต้องการของต้นไม้ และนำไปตากแดดบ้าง เพื่อให้พืชได้รับแสงอาทิตย์ไว้คอยสังเคราะห์แสง แต่ถึงกระนั้นก็ไม่ควรตั้งกระถางต้นไม้ในที่ร้อนจัดหรือโดนแดดแรงจัดๆอย่างตรงๆมากเกินไป ส่วนพื้นที่มีลมแรงมาก ๆ ก็ไม่เหมาะ เนื่องจากอาจจะทำให้ลำต้นเอียงได้
"กุหลาบ (อังกฤษ: rose) คือดอกไม้ในสกุล Rosa ในวงศ์ Rosaceae ที่ได้รับความนิยมปลูกมากที่สุดชนิดหนึ่งของโลกที่มีต้นกำเนิดจากทวีปเอเชีย ผู้คนนิยมปลูกเพื่อความสวยงาม ตกแต่งสวน, ประดับตกแต่งบ้าน, ประดับสถานที่, ปลูกเพื่อการพาณิชย์ อาทิ เพื่อนำไปสกัดน้ำหอม นำไปทำเป็นส่วนประกอบของสปา เป็นต้",เพื่อให้ต้นไม้มีการเจริญเติบโตได้อย่างดี อยู่กับคุณไปนานๆ คุณก็ควรดูแลต้นไม้ให้ถูกวิธี โดยการเลือกดินให้เหมาะสมกับชนิดพืช ใส่กรวดลงไปในดินบ้างเพื่อให้ช่วยยึดพืช พร้อมเพิ่มช่องว่างให้อากาศและน้ำถ่ายเทได้อย่างสะดวก ไม่ขังอยู่ในกระถางจนรากเน่าตาย และควรรดน้ำกับความต้องการของต้นไม้ และนำไปตากแดดบ้าง เพื่อให้พืชได้รับแสงอาทิตย์ไว้คอยสังเคราะห์แสง แต่ถึงกระนั้นก็ไม่ควรตั้งกระถางต้นไม้ในที่ร้อนจัดหรือโดนแดดแรงจัดๆอย่างตรงๆมากเกินไป ส่วนพื้นที่มีลมแรงมาก ๆ ก็ไม่เหมาะ เนื่องจากอาจจะทำให้ลำต้นเอียงได้
ทิวลิป เป็นดอกไม้เมืองหนาวที่เป็นสัญลักษณ์ของฮอลแลนด์ มีอยู่หลายสี ดอกทิวลิปจะปลูกได้ต้องใช้อุณหภูมิที่เหมาะสม คือไม่เกิน 25 องศาเซลเซียส,เพื่อให้ต้นไม้มีการเจริญเติบโตได้อย่างดี อยู่กับคุณไปนานๆ คุณก็ควรดูแลต้นไม้ให้ถูกวิธี โดยการเลือกดินให้เหมาะสมกับชนิดพืช ใส่กรวดลงไปในดินบ้างเพื่อให้ช่วยยึดพืช พร้อมเพิ่มช่องว่างให้อากาศและน้ำถ่ายเทได้อย่างสะดวก ไม่ขังอยู่ในกระถางจนรากเน่าตาย และควรรดน้ำกับความต้องการของต้นไม้ และนำไปตากแดดบ้าง เพื่อให้พืชได้รับแสงอาทิตย์ไว้คอยสังเคราะห์แสง แต่ถึงกระนั้นก็ไม่ควรตั้งกระถางต้นไม้ในที่ร้อนจัดหรือโดนแดดแรงจัดๆอย่างตรงๆมากเกินไป ส่วนพื้นที่มีลมแรงมาก ๆ ก็ไม่เหมาะ เนื่องจากอาจจะทำให้ลำต้นเอียงได้
Begonia อ่านว่า เบ็กโกเนีย แต่ คนไทยเรียกไม้ดอกชนิดนี้ว่า บีโกเนีย มีถิ่นกำเนิดใน เอเชีย และ อเมริกา มีทั้งชนิดที่ใช้ดอกตกแต่ง และใช้ใบตกแต่ง แต่ ที่นิยมปลูกทุกวันนี้ เพื่อความสวยงามของดอกเป็นส่วนใหญ่ บีโกเนียนั้นต้นมีขนาดเล็กเหมาะสำหรับปลูกเป็นพืชคลุมดิน เป็นไม้กระถาง หรือ ไม้ในภาชนะแขวนก็ได้,เพื่อให้ต้นไม้มีการเจริญเติบโตได้อย่างดี อยู่กับคุณไปนานๆ คุณก็ควรดูแลต้นไม้ให้ถูกวิธี โดยการเลือกดินให้เหมาะสมกับชนิดพืช ใส่กรวดลงไปในดินบ้างเพื่อให้ช่วยยึดพืช พร้อมเพิ่มช่องว่างให้อากาศและน้ำถ่ายเทได้อย่างสะดวก ไม่ขังอยู่ในกระถางจนรากเน่าตาย และควรรดน้ำกับความต้องการของต้นไม้ และนำไปตากแดดบ้าง เพื่อให้พืชได้รับแสงอาทิตย์ไว้คอยสังเคราะห์แสง แต่ถึงกระนั้นก็ไม่ควรตั้งกระถางต้นไม้ในที่ร้อนจัดหรือโดนแดดแรงจัดๆอย่างตรงๆมากเกินไป ส่วนพื้นที่มีลมแรงมาก ๆ ก็ไม่เหมาะ เนื่องจากอาจจะทำให้ลำต้นเอียงได้
กุหลาบหนู เป็นพวกกุหลาบพันธุ์เตี้ยแคะ (Miniature Roses) พุ่มทึบบ สูงเพียงราว 6-18 นิ้วเท่านั้น ส่วนดอกก็มีเส้นผ่าศูนย์กลาง 0.5-1 นิ้ว ดอกมักจะออกพร้อม ๆ กันเป็นระยะ ๆ เกือบตลอดปี,เพื่อให้ต้นไม้มีการเจริญเติบโตได้อย่างดี อยู่กับคุณไปนานๆ คุณก็ควรดูแลต้นไม้ให้ถูกวิธี โดยการเลือกดินให้เหมาะสมกับชนิดพืช ใส่กรวดลงไปในดินบ้างเพื่อให้ช่วยยึดพืช พร้อมเพิ่มช่องว่างให้อากาศและน้ำถ่ายเทได้อย่างสะดวก ไม่ขังอยู่ในกระถางจนรากเน่าตาย และควรรดน้ำกับความต้องการของต้นไม้ และนำไปตากแดดบ้าง เพื่อให้พืชได้รับแสงอาทิตย์ไว้คอยสังเคราะห์แสง แต่ถึงกระนั้นก็ไม่ควรตั้งกระถางต้นไม้ในที่ร้อนจัดหรือโดนแดดแรงจัดๆอย่างตรงๆมากเกินไป ส่วนพื้นที่มีลมแรงมาก ๆ ก็ไม่เหมาะ เนื่องจากอาจจะทำให้ลำต้นเอียงได้
ดอกอาซาเลีย (Azalea) หรือที่คนไทยนิยมเรียกกันว่า กุหลาบพันปีอาซาเลีย มีถิ่นกำเนิดอยู่ในแถบอเมริกากลาง เป็นไม้ดอกที่มีลำต้นไม่สูงมาก,เพื่อให้ต้นไม้มีการเจริญเติบโตได้อย่างดี อยู่กับคุณไปนานๆ คุณก็ควรดูแลต้นไม้ให้ถูกวิธี โดยการเลือกดินให้เหมาะสมกับชนิดพืช ใส่กรวดลงไปในดินบ้างเพื่อให้ช่วยยึดพืช พร้อมเพิ่มช่องว่างให้อากาศและน้ำถ่ายเทได้อย่างสะดวก ไม่ขังอยู่ในกระถางจนรากเน่าตาย และควรรดน้ำกับความต้องการของต้นไม้ และนำไปตากแดดบ้าง เพื่อให้พืชได้รับแสงอาทิตย์ไว้คอยสังเคราะห์แสง แต่ถึงกระนั้นก็ไม่ควรตั้งกระถางต้นไม้ในที่ร้อนจัดหรือโดนแดดแรงจัดๆอย่างตรงๆมากเกินไป ส่วนพื้นที่มีลมแรงมาก ๆ ก็ไม่เหมาะ เนื่องจากอาจจะทำให้ลำต้นเอียงได้
รักเร่ เป็นพันธุ์ไม้ดอกในสกุล Dahlia ที่มีถิ่นกำเนิดในเม็กซิโก โคลัมเบีย และทั่วไปในทวีปอเมริกากลาง ดอกมีรูปทรงและสีสันสวยงามสะดุดตา ก้านดอกแข็งแรง นิยมปลูกเป็นไม้ตัดดอก เช่นเดียวกับกุหลาบ แต่ในประเทศไทยไม่นิยมปลูก เนื่องมาจากมีชื่อที่ไม่เป็นมงคล,เพื่อให้ต้นไม้มีการเจริญเติบโตได้อย่างดี อยู่กับคุณไปนานๆ คุณก็ควรดูแลต้นไม้ให้ถูกวิธี โดยการเลือกดินให้เหมาะสมกับชนิดพืช ใส่กรวดลงไปในดินบ้างเพื่อให้ช่วยยึดพืช พร้อมเพิ่มช่องว่างให้อากาศและน้ำถ่ายเทได้อย่างสะดวก ไม่ขังอยู่ในกระถางจนรากเน่าตาย และควรรดน้ำกับความต้องการของต้นไม้ และนำไปตากแดดบ้าง เพื่อให้พืชได้รับแสงอาทิตย์ไว้คอยสังเคราะห์แสง แต่ถึงกระนั้นก็ไม่ควรตั้งกระถางต้นไม้ในที่ร้อนจัดหรือโดนแดดแรงจัดๆอย่างตรงๆมากเกินไป ส่วนพื้นที่มีลมแรงมาก ๆ ก็ไม่เหมาะ เนื่องจากอาจจะทำให้ลำต้นเอียงได้
ชบา (ชื่อวิทยาศาสตร์: Hibiscus rosa-sinensis) เป็นพืชมีดอกในสกุล Hibiscus วงศ์ Malvaceae เป็นพืชพื้นเมืองในเอเชียตะวันออก ชาวโอรังอัซลีในรัฐเปรัก มาเลเซีย ใช้เปลือกรากแช่ในน้ำข้ามคืนและดื่มขณะท้องว่างเพื่อรักษาฝี,เพื่อให้ต้นไม้มีการเจริญเติบโตได้อย่างดี อยู่กับคุณไปนานๆ คุณก็ควรดูแลต้นไม้ให้ถูกวิธี โดยการเลือกดินให้เหมาะสมกับชนิดพืช ใส่กรวดลงไปในดินบ้างเพื่อให้ช่วยยึดพืช พร้อมเพิ่มช่องว่างให้อากาศและน้ำถ่ายเทได้อย่างสะดวก ไม่ขังอยู่ในกระถางจนรากเน่าตาย และควรรดน้ำกับความต้องการของต้นไม้ และนำไปตากแดดบ้าง เพื่อให้พืชได้รับแสงอาทิตย์ไว้คอยสังเคราะห์แสง แต่ถึงกระนั้นก็ไม่ควรตั้งกระถางต้นไม้ในที่ร้อนจัดหรือโดนแดดแรงจัดๆอย่างตรงๆมากเกินไป ส่วนพื้นที่มีลมแรงมาก ๆ ก็ไม่เหมาะ เนื่องจากอาจจะทำให้ลำต้นเอียงได้
"พุดตาน (ชื่อวิทยาศาสตร์: Hibiscus mutabilis L.) (ชื่อสามัญ: Cotton rose, Cotton rose hibiscus, Confederate rose, Confederate rose mallow, Dixie rosemallow, Changeable Rose, Changeable rose mallow, Rose of Sharon) พรรณไม้มงคลไทยสรรพคุณทางยาควรค่าที่จะมีปลูกไว้ เป็นพันธุ์ไม้ที่ดอกสามารถเปลี่ยนสีได้ถึง 3 สี ภายใน 1 วัน ใบสวยงามมากเมื่อมีใบดกทั่วต้นโดยเป็นไม้ที่ชอบแดดจัด และไม่ชอบน้ำขัง เจริญได้ดีในดินดอนร่วนซุย ขยายพันธุ์ด้วยการตอนกิ่งและปักชำ และยังมีสรรพคุณสามารถรักษาโรคได้อีกด้วย",เพื่อให้ต้นไม้มีการเจริญเติบโตได้อย่างดี อยู่กับคุณไปนานๆ คุณก็ควรดูแลต้นไม้ให้ถูกวิธี โดยการเลือกดินให้เหมาะสมกับชนิดพืช ใส่กรวดลงไปในดินบ้างเพื่อให้ช่วยยึดพืช พร้อมเพิ่มช่องว่างให้อากาศและน้ำถ่ายเทได้อย่างสะดวก ไม่ขังอยู่ในกระถางจนรากเน่าตาย และควรรดน้ำกับความต้องการของต้นไม้ และนำไปตากแดดบ้าง เพื่อให้พืชได้รับแสงอาทิตย์ไว้คอยสังเคราะห์แสง แต่ถึงกระนั้นก็ไม่ควรตั้งกระถางต้นไม้ในที่ร้อนจัดหรือโดนแดดแรงจัดๆอย่างตรงๆมากเกินไป ส่วนพื้นที่มีลมแรงมาก ๆ ก็ไม่เหมาะ เนื่องจากอาจจะทำให้ลำต้นเอียงได้
ราชาวดี (อังกฤษ: butterfly bush[1]; ชื่อวิทยาศาสตร์: Buddleja paniculata) เป็นไม้ประดับในวงศ์ Buddlejaceae มีถิ่นกำเนิดทางตอนเหนือของอินเดียและจีน[2] ลักษณะเป็นไม้ต้นขนาดเล็กถึงไม้พุ่ม สูง 2-5 เมตร ตามกิ่งมีขน ใบเป็นใบเดี่ยวรูปไข่ ออกตรงข้าม กว้าง 3.5-5 เซนติเมตร ยาว 5-7 เซนติเมตร โคนใบมน ปลายใบแหลม ขอบใบหยักฟันเลื่อยถี่ เนื้อใบหยาบ ท้องใบสีเขียวอมเทา มีขนสากหลังใบสีเขียว ดอกออกเป็นช่อตามซอกใบ ยาว 6-10 เซนติเมตร ดอกย่อยมีขนาดเล็กสีขาว โคนกลีบดอกเชื่อมติดกันเป็นหลอดสั้น ปลายแยกเป็น 4 กลีบ เกสรเพศผู้ 4 อัน ดอกมีกลิ่นหอม ผลเมื่อแก่แตกเป็น 2 ซีก ภายในมีเมล็ดขนาดเล็กจำนวนมาก ขยายพันธุ์ด้วยการเพาะเมล็ด ปักชำกิ่งและตอนกิ่ง,เพื่อให้ต้นไม้มีการเจริญเติบโตได้อย่างดี อยู่กับคุณไปนานๆ คุณก็ควรดูแลต้นไม้ให้ถูกวิธี โดยการเลือกดินให้เหมาะสมกับชนิดพืช ใส่กรวดลงไปในดินบ้างเพื่อให้ช่วยยึดพืช พร้อมเพิ่มช่องว่างให้อากาศและน้ำถ่ายเทได้อย่างสะดวก ไม่ขังอยู่ในกระถางจนรากเน่าตาย และควรรดน้ำกับความต้องการของต้นไม้ และนำไปตากแดดบ้าง เพื่อให้พืชได้รับแสงอาทิตย์ไว้คอยสังเคราะห์แสง แต่ถึงกระนั้นก็ไม่ควรตั้งกระถางต้นไม้ในที่ร้อนจัดหรือโดนแดดแรงจัดๆอย่างตรงๆมากเกินไป ส่วนพื้นที่มีลมแรงมาก ๆ ก็ไม่เหมาะ เนื่องจากอาจจะทำให้ลำต้นเอียงได้
"เอื้องหมายนา (ชื่อวิทยาศาสตร์: Costus speciosus, หรือ Cheilocostus speciosus; อังกฤษ: Indian Head Ginger) หรือ เอื้องเพชรม้า เป็นพืชล้มลุกอายุหลายฤดู จัดอยู่ในวงศ์เอื้องหมายนา ชอบขึ้นในที่ชื้นแฉะ มีเหง้าใต้ดิน ใช้เป็นไม้ประดับได้ เจริญได้ดีทั้งในที่ได้รับร่มเงาบ้าง หรือกลางแสงแดดจัดที่มีความชื้นสูง เอื้องหมายนาเป็นพืชมีถิ่นกำเนิดในเขตร้อนและเป็นพืชประจำถิ่นในประเทศอินเดีย ภูมิภาคเอเชียตะวันออกเฉียงใต้ จนถึงเกาะนิวกินี",เพื่อให้ต้นไม้มีการเจริญเติบโตได้อย่างดี อยู่กับคุณไปนานๆ คุณก็ควรดูแลต้นไม้ให้ถูกวิธี โดยการเลือกดินให้เหมาะสมกับชนิดพืช ใส่กรวดลงไปในดินบ้างเพื่อให้ช่วยยึดพืช พร้อมเพิ่มช่องว่างให้อากาศและน้ำถ่ายเทได้อย่างสะดวก ไม่ขังอยู่ในกระถางจนรากเน่าตาย และควรรดน้ำกับความต้องการของต้นไม้ และนำไปตากแดดบ้าง เพื่อให้พืชได้รับแสงอาทิตย์ไว้คอยสังเคราะห์แสง แต่ถึงกระนั้นก็ไม่ควรตั้งกระถางต้นไม้ในที่ร้อนจัดหรือโดนแดดแรงจัดๆอย่างตรงๆมากเกินไป ส่วนพื้นที่มีลมแรงมาก ๆ ก็ไม่เหมาะ เนื่องจากอาจจะทำให้ลำต้นเอียงได้
เป็นไม้พุ่มขนาดเล็ก สูง 2-4 เมตร แตกกิ่งขนาดเล็กจำนวนมาก เปลือกลำต้นสีน้ำตาลเป็นปุ่มปมเล็ก ใบเดี่ยวเรียงเวียนสลับ ยาว 5-8 เซนติเมตร ขอบใบเป็นคลื่น ผิวใบเรียบเป็นมันทั้งสองด้าน ดอกออกเป็นช่อสีขาวที่ปลายกิ่ง มีดอกย่อย 15-20 ดอก โคนกลีบดอกเป็นหลอด ยาว 1 เซนติเมตร ปลายแยกเป็น 5-6 กลีบ เมื่อบานมีเส้นผ่านศูนย์กลาง 6-8 มิลลิเมตร ผลกลม เปลือกนิ่มสีดำ,เพื่อให้ต้นไม้มีการเจริญเติบโตได้อย่างดี อยู่กับคุณไปนานๆ คุณก็ควรดูแลต้นไม้ให้ถูกวิธี โดยการเลือกดินให้เหมาะสมกับชนิดพืช ใส่กรวดลงไปในดินบ้างเพื่อให้ช่วยยึดพืช พร้อมเพิ่มช่องว่างให้อากาศและน้ำถ่ายเทได้อย่างสะดวก ไม่ขังอยู่ในกระถางจนรากเน่าตาย และควรรดน้ำกับความต้องการของต้นไม้ และนำไปตากแดดบ้าง เพื่อให้พืชได้รับแสงอาทิตย์ไว้คอยสังเคราะห์แสง แต่ถึงกระนั้นก็ไม่ควรตั้งกระถางต้นไม้ในที่ร้อนจัดหรือโดนแดดแรงจัดๆอย่างตรงๆมากเกินไป ส่วนพื้นที่มีลมแรงมาก ๆ ก็ไม่เหมาะ เนื่องจากอาจจะทำให้ลำต้นเอียงได้
พลับพลึงตีนเป็ด (ชื่อวิทยาศาสตร์: Hymenocallis littoralis Salisb) เป็นพืชตระกูล AMARYLLIDACEAE พบทุกภูมิภาคของประเทศไทย มีหัวอยู่ใต้ดินลำต้นกลมสูงประมาณ 30 ซม. ใบเป็นรูปแถบแคบเรียวแหลม ออกตรงข้ามกันสองข้าง ขอบใบเรียบ อวบน้ำ ดอกเป็นช่อกระจุกโปร่งมี 8 - 10 ดอก แต่ละดอกมีระยางค์ที่เกิดจาก ก้านเกสรเพศผู้ ที่เชื่อมติดกันเป็นวงคล้ายถ้วย บานตอนกลางคืน - เช้า มีกลิ่นหอมอ่อน ๆ ผลสดสีเขียว รูปร่างค่อนข้างกลม แก่จะเป็นสีน้ำตาล เมล็ดรูปร่างกลม ๆ เล็ก แก่แล้วเป็นสีน้ำตาล ขยายพันธุ์โดยการแยกหน่อปลูก มีประโยชน์ โดยใช้ใบนำเอามาย่างไฟพันแก้ฟกช้ำ บวม เคล็ดขัดยอก ใช้อยู่ไฟหลังคลอด หัวมีรสขม ในอินเดียใช้เป็นยาระบาย ขับเสมหะ รักษาโรคเกี่ยวกับน้ำดี,เพื่อให้ต้นไม้มีการเจริญเติบโตได้อย่างดี อยู่กับคุณไปนานๆ คุณก็ควรดูแลต้นไม้ให้ถูกวิธี โดยการเลือกดินให้เหมาะสมกับชนิดพืช ใส่กรวดลงไปในดินบ้างเพื่อให้ช่วยยึดพืช พร้อมเพิ่มช่องว่างให้อากาศและน้ำถ่ายเทได้อย่างสะดวก ไม่ขังอยู่ในกระถางจนรากเน่าตาย และควรรดน้ำกับความต้องการของต้นไม้ และนำไปตากแดดบ้าง เพื่อให้พืชได้รับแสงอาทิตย์ไว้คอยสังเคราะห์แสง แต่ถึงกระนั้นก็ไม่ควรตั้งกระถางต้นไม้ในที่ร้อนจัดหรือโดนแดดแรงจัดๆอย่างตรงๆมากเกินไป ส่วนพื้นที่มีลมแรงมาก ๆ ก็ไม่เหมาะ เนื่องจากอาจจะทำให้ลำต้นเอียงได้
พุดจีบ ชื่อวิทยาศาสตร์ Tabernaemontana divaricata (L.) R.Br. ex Roem. & Schult. จัดอยู่ในวงศ์ตีนเป็ด (APOCYNACEAE) และอยู่ในวงศ์ย่อยระย่อม (RAUVOLFIOIDEAE)[1],เพื่อให้ต้นไม้มีการเจริญเติบโตได้อย่างดี อยู่กับคุณไปนานๆ คุณก็ควรดูแลต้นไม้ให้ถูกวิธี โดยการเลือกดินให้เหมาะสมกับชนิดพืช ใส่กรวดลงไปในดินบ้างเพื่อให้ช่วยยึดพืช พร้อมเพิ่มช่องว่างให้อากาศและน้ำถ่ายเทได้อย่างสะดวก ไม่ขังอยู่ในกระถางจนรากเน่าตาย และควรรดน้ำกับความต้องการของต้นไม้ และนำไปตากแดดบ้าง เพื่อให้พืชได้รับแสงอาทิตย์ไว้คอยสังเคราะห์แสง แต่ถึงกระนั้นก็ไม่ควรตั้งกระถางต้นไม้ในที่ร้อนจัดหรือโดนแดดแรงจัดๆอย่างตรงๆมากเกินไป ส่วนพื้นที่มีลมแรงมาก ๆ ก็ไม่เหมาะ เนื่องจากอาจจะทำให้ลำต้นเอียงได้
"ชื่อวิทยาศาสตร์ Clerodendrum wallichiชื่อวงศ์ LABIATAEชื่ออื่นๆ ระย้าแก้ว,สังวาลย์พระอินทร์, ตุ้มหูพระอินทร์, พวงระย้าสร้อยสายเพชร เป็นไม้ทรงพุ่มขนาดเล็ก จัดเป็นพืชในวงศ์เดียวกันกับกระเพาะ มักพบเห็นได้ตามป่าเขาที่มีความร่มรื่นใต้ต้นไม้ มีถิ่นกำเนิดอยู่ในประเทศอินเดีย เนปาล ต่อมาได้แพร่กระจายพันธุ์ไปสู่เอเชียตะวันออกเฉียงใต้ และประเทศไทย",เพื่อให้ต้นไม้มีการเจริญเติบโตได้อย่างดี อยู่กับคุณไปนานๆ คุณก็ควรดูแลต้นไม้ให้ถูกวิธี โดยการเลือกดินให้เหมาะสมกับชนิดพืช ใส่กรวดลงไปในดินบ้างเพื่อให้ช่วยยึดพืช พร้อมเพิ่มช่องว่างให้อากาศและน้ำถ่ายเทได้อย่างสะดวก ไม่ขังอยู่ในกระถางจนรากเน่าตาย และควรรดน้ำกับความต้องการของต้นไม้ และนำไปตากแดดบ้าง เพื่อให้พืชได้รับแสงอาทิตย์ไว้คอยสังเคราะห์แสง แต่ถึงกระนั้นก็ไม่ควรตั้งกระถางต้นไม้ในที่ร้อนจัดหรือโดนแดดแรงจัดๆอย่างตรงๆมากเกินไป ส่วนพื้นที่มีลมแรงมาก ๆ ก็ไม่เหมาะ เนื่องจากอาจจะทำให้ลำต้นเอียงได้
"ชมนาด [ชม-มะ-นาด] หรือ ชำมะนาด (ชื่อวิทยาศาสตร์: Vallaris glabra; ชื่อพื้นเมืองอื่น ๆ คือ ดอกข้าวใหม่, อ้มส้าย (ภาคเหนือ), ชำมะนาดฝรั่ง) เป็นไม้รอเลื้อย จัดอยู่ในพวกไม้เถาขนาดกลาง สามารถแผ่ขยายได้ถึง 6–8 เมตร ใบเป็นใบเดี่ยว ออกตรงข้าม รูปไข่แกมรี ปลายแหลม โคนมน สีเขียว มีกลิ่นหอมเหมือนใบเตยซึ่งคล้ายกลิ่นข้าวใหม่ทำให้ได้ชื่อว่า ""ข้าวใหม่"" เป็นไม้ที่ชอบแดดจัดต้องการรับแสงแดดเต็มวัน ชอบดินร่วนซุยที่สามารถระบายน้ำได้ดี การใช้ประโยชน์ เป็นไม้ที่ดอกมีกลิ่นหอม บานช่วงเวลากลางคืน ใช้ทำน้ำอบ ข้าวแช่",เพื่อให้ต้นไม้มีการเจริญเติบโตได้อย่างดี อยู่กับคุณไปนานๆ คุณก็ควรดูแลต้นไม้ให้ถูกวิธี โดยการเลือกดินให้เหมาะสมกับชนิดพืช ใส่กรวดลงไปในดินบ้างเพื่อให้ช่วยยึดพืช พร้อมเพิ่มช่องว่างให้อากาศและน้ำถ่ายเทได้อย่างสะดวก ไม่ขังอยู่ในกระถางจนรากเน่าตาย และควรรดน้ำกับความต้องการของต้นไม้ และนำไปตากแดดบ้าง เพื่อให้พืชได้รับแสงอาทิตย์ไว้คอยสังเคราะห์แสง แต่ถึงกระนั้นก็ไม่ควรตั้งกระถางต้นไม้ในที่ร้อนจัดหรือโดนแดดแรงจัดๆอย่างตรงๆมากเกินไป ส่วนพื้นที่มีลมแรงมาก ๆ ก็ไม่เหมาะ เนื่องจากอาจจะทำให้ลำต้นเอียงได้
